source_id,ra,dec,parallax,ruwe,phot_g_mean_mag,pmra,pmdec
141545595042005376,42.58725310321632,37.48368381358235,13.253293758246073,12.165733,11.572197,175.42229551512253,-83.97684426674778
197819630945098880,89.20170100015491,46.64273565379554,7.740636591099316,20.525187,8.8188505,-22.93853867510814,-11.299298244916184
215942885401270528,88.19059500532184,52.92751784775748,3.900918276439129,10.012697,12.249026,-21.83644497943172,-48.054818399332824
224869030034826880,56.836759210709985,40.42479518436976,12.930066382857053,11.380975,13.1261215,-21.431137159505305,-49.85037510500064
250910103946201216,60.01111198884288,51.57086949385011,3.8950212285614843,11.3220415,12.682572,11.863979109593718,-36.814905353468916
258775391656136576,67.33137335422063,49.91508966978731,7.508112339452128,14.3045,12.759339,26.289858036320247,-39.18195459128682
262120101730772864,81.01195155282664,51.462463699611064,3.712859245463189,10.667733,13.150161,16.002654555812477,-13.140509885037744
265150119553871488,86.4369490328515,54.43221892588305,9.906811277164488,13.861958,13.005315,25.659382783384157,-96.38788222889134
270871187792446976,66.60564681679475,50.55862203390074,10.881513543138466,12.148824,14.554605,-9.169108175633335,-51.49171870707522
276135821266566272,60.91051544582396,53.78512962483658,5.36920704128567,14.301396,9.754488,37.30634101196569,-21.13358624364398
276164988384459264,61.50066347771557,54.139145399180904,6.413997682100734,17.977432,12.2274685,3.600068025975573,5.715597968983023
276447601532081152,64.69838134419255,54.95547426351969,7.94044397939324,11.416297,13.12297,74.571644404267,-70.70229494545977
283809725230077568,74.10812463915784,58.184798596579554,4.7322972345966745,13.527677,13.143066,23.64842853690115,-17.186079467410856
285513074899680256,76.9160062536012,61.2741921990254,4.185979500891843,11.294189,11.847351,15.082427187490975,-25.492208027510067
334227590403093760,40.369431460278555,39.03130950391527,4.293302609096565,11.301304,9.862931,28.157138728668162,-13.632433959082487
341180077303809536,37.508068645626366,44.04999663734123,6.931626998021273,13.966523,14.285754,-9.888325470935797,3.268097432801509
354674624030118400,34.28273290391964,47.06183117589316,4.507548626888638,11.844575,13.06922,-11.596920039798256,25.15631198541795
391686311427787648,8.188333532963377,50.08336015152789,11.944127320519641,16.994648,10.191983,76.8792743714708,-44.58139889142553
402203247524757888,15.258798106795155,48.492778619431554,6.300393238714155,10.942101,9.626309,-11.162507735576401,-12.619519353892137
407949050480041856,25.538499243680995,52.80823806798135,7.071469460396196,13.9984045,13.011028,-12.76293910394554,7.849106731078569
411467973022244736,15.600573609214624,55.188240362546765,6.626545245705039,10.40773,14.807542,-27.409368214210765,-74.30441708355345
414752592208162944,10.194989659333995,50.3900088223203,8.151385037431407,19.856611,12.161148,44.517199207463506,-32.92737779047156
417954095196788480,9.545325243138066,54.60308777796087,8.710145554563718,19.196327,14.484992,3.0951003675871864,-3.72266281451752
418731583051163136,9.906844125516804,56.40201017422017,8.306697301307858,14.949399,11.831938,81.7190961723266,-24.206850971877827
425198090116237568,12.030151240299253,58.763999039047704,6.879245347583614,10.973482,12.784178,48.37456272649595,-28.946795747101564
427934529739779712,6.488697304113957,58.1050877532567,7.826024780639501,13.282806,13.090959,-31.391506652604328,-38.95928841854121
430724235562514688,8.640295125101371,62.9042422550289,17.618476345054397,13.749121,10.103921,-22.80430183999652,-68.38341121050291
432151710889532416,0.7737496718575099,65.08879868862361,5.319793758640912,17.111391,11.97893,-19.63722683988092,0.8109120173120274
438161980745678464,41.68810523886023,48.056007919429966,7.454313909851555,13.172029,11.730604,-4.82137350751648,-83.45929189887786
444143225214062080,56.38051343085924,53.93736620499315,12.817465452765607,28.170118,13.659819,107.09409556205354,-52.823188310477214
453388709255534336,43.80482375922254,54.1335088041352,5.7363484175731845,10.521782,13.252385,64.44346093986951,-12.706883280930775
457211986066951936,36.58698990313347,55.2692219498876,18.723966741172216,10.190774,12.797943,66.12966495056693,-27.360658988089625
463222191498727936,47.774196295973944,61.126812497701096,11.96150130342333,12.859402,8.762108,32.74843988112509,-46.3814065520108
479435418163646976,75.36698164489646,65.02702372859912,7.50674687880635,20.629423,12.524955,3.0830362935084494,-87.06174955731034
480154395684650752,82.74386267398685,65.85128620831023,6.163220971821315,10.065931,13.539388,-6.364971063305083,-19.64523344616222
483056109952604288,70.60634370565565,65.64370200189848,14.114748983609847,22.205841,14.149326,32.49132107113879,-84.23201929682737
492535171494526848,46.858492165954516,67.23347884075702,4.52336731432262,16.738811,12.610989,-8.66745496532026,-2.6679356353723196
496075736373101952,73.90649286274343,68.99452395143172,4.886485705034064,11.807296,14.525525,-13.546208656163023,-7.856397583798065
503944700573352192,82.29622985238214,76.33707312931894,16.186650913668334,11.60509,14.479591,10.978522585501777,-98.00765000272399
508746302222933504,29.670709363258844,62.35017764415053,6.30262249001939,10.948998,13.589212,33.115689040878806,-68.08681145731389
510352035874765952,19.992548947025927,60.22889503449471,6.15182615754451,10.250991,8.022924,67.38569369342802,-61.70113094733732
512668260195992576,20.214055380217054,63.61045189112515,8.267898571703665,12.267822,10.491313,38.06394393736969,-53.52205810154403
518705403661191680,31.84624020711866,66.5880663424285,8.746781487017133,29.977106,10.750199,87.82750172151702,27.98666803268895
